municipio,nombre_unidad,tipologia,clave_ins,institucion,nivel_atencion,tipo_establecimiento,latitud,longitud
AMECA,UMFH 24 AMECA,UNIDAD DE MEDICINA FAMILIAR CON HOSPITALIZACIÓN,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5388,-104.0446
ARANDAS,UMF 44 ARANDAS,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7061,-102.3566
EL ARENAL,UMF 12 EL ARENAL,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7757,-103.69603
ATOTONILCO EL ALTO,UMFH 22 ATOTONILCO,UNIDAD DE MEDICINA FAMILIAR CON HOSPITALIZACIÓN,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5484,-102.5162
AUTLAN DE NAVARRO,HGZMF 20 AUTLAN NAVARRO,HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.7721,-104.3622
AUTLAN DE NAVARRO,UMF 37 ING. MELCHOR,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.7865,-104.2367
AYOTLAN,UMF 66 AYOTLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5261,-102.3272
AYUTLA,UMF 71 AYUTLA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.1235,-104.3402
LA BARCA,UMFH 23 LA BARCA,UNIDAD DE MEDICINA FAMILIAR CON HOSPITALIZACIÓN,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.2894,-102.5516
BOLAÑOS,UMF 68 BOLAÑOS,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,21.8309,-103.7806
CASIMIRO CASTILLO,HGSMF 28 CASIMIRO CASTILLO,HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.6025,-104.4424
CIHUATLAN,UMF 80 CIHUATLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.236,-104.5718
CIHUATLAN,UMF 162 MELAQUE,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.2234,-104.6999
ZAPOTLAN EL GRANDE,HGZMF 9 CD. GUZMÁN,HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.7195,-103.4603
COCULA,UMF 72 COCULA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.3636,-103.8215
COCULA,UMF 25 LA SAUCEDA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.4478,-104.0253
COLOTLAN,UMF 60 COLOTLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,22.1165,-103.2674
CHAPALA,UMFH 40 CHAPALA,UNIDAD DE MEDICINA FAMILIAR CON HOSPITALIZACIÓN,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.2914,-103.1867
CHAPALA,UMF 50 ATOTONILQUILLO,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.3965,-103.1092
DEGOLLADO,UMF 165 DEGOLLADO,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.4531,-102.1374
ENCARNACION DE DIAZ,UMF 84 ENCARNACIÓN DE DÍAZ,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,21.5338216,-102.239618
ETZATLAN,UMF 69 ETZATLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.771,-104.0778
EL GRULLO,UMF 81 GRULLO,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.8103,-104.2282
GUADALAJARA,BS CMN OCCIDENTE,BANCO DE SANGRE,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6845615,-103.3268308
GUADALAJARA,HES CMN OCCIDENTE,HOSPITAL DE ESPECIALIDADES,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,TERCER NIVEL,DE HOSPITALIZACIÓN,20.6861939,-103.3273887
GUADALAJARA,HGO CMN OCCIDENTE,HOSPITAL DE GINECO-OBSTETRICIA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,TERCER NIVEL,DE HOSPITALIZACIÓN,20.6840008,-103.327732
GUADALAJARA,HP CMN OCCIDENTE,HOSPITAL PEDIATRÍA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,TERCER NIVEL,DE HOSPITALIZACIÓN,20.683284,-103.3269381
GUADALAJARA,HGZ 14 GUADALAJARA,HOSPITAL GENERAL DE ZONA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6447,-103.3052
GUADALAJARA,HGZ 89 GUADALAJARA,HOSPITAL GENERAL DE ZONA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6638786,-103.3678275
GUADALAJARA,HGR 110 OBLATOS,HOSPITAL GENERAL REGIONAL,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6889,-103.30402
GUADALAJARA,HGR 45 GUADALAJARA,HOSPITAL GENERAL REGIONAL,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6796,-103.3629
GUADALAJARA,HGR 46 GUADALAJARA,HOSPITAL GENERAL REGIONAL,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6475,-103.3622
GUADALAJARA,LABORATORIO CITOLOGÍA EXFOLIATIVA,LABORATORIO DE CITOLOGÍA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6975,-103.3493
GUADALAJARA,UMF 1 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6743,-103.3578
GUADALAJARA,UMF 167 H. PROVINCIA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6667,-103.2947
GUADALAJARA,UMF 2 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6892901,-103.3647989
GUADALAJARA,UMF 3 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6851151,-103.3271419
GUADALAJARA,UMF 34 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6382759,-103.3764347
GUADALAJARA,UMF 4 ATEMAJAC,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7128385,-103.3562091
GUADALAJARA,UMF 48 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6898668,-103.3019632
GUADALAJARA,UMF 49 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6638218,-103.3349704
GUADALAJARA,UMF 51 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6979338,-103.3496538
